,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
274,10,21,Peñón Blanco,25.84,5.94,621
275,10,22,Poanas,24.6,3.81,679
276,10,23,Pueblo Nuevo,26.33,9.765,473
277,10,24,Rodeo,26.55,6.09,124
278,10,25,San Bernardo,22.31,3.67,669
279,10,26,San Dimas,20.85,4.79,20
280,10,27,San Juan de Guadalupe,27.21,7.41,34
281,10,29,San Luis del Cordero,23.83,10.81,752
282,10,30,San Pedro del Gallo,24.28,6.74,51
283,10,31,Santa Clara,25.5,5.7,784
284,10,32,Santiago Papasquiaro,22.99,4.44,764
285,10,33,Súchil,19.93,2.77,235
286,10,34,Tamazula,25.95,11.13,453
287,10,35,Tepehuanes,21.73,2.77,105
288,10,36,Tlahualilo,24.96,9.79,899
289,10,37,Topia,23.49,6.66,364
290,10,39,Nuevo Ideal,24.14,4.35,103
291,11,2,Acámbaro,24.22,10.2,725
292,11,3,San Miguel de Allende,25.5,10.6,188
293,11,4,Apaseo el Alto,27.02,11.58,791
294,11,5,Apaseo el Grande,27.77,11.95,73
295,11,6,Atarjea,23.08,13.12,508
296,11,7,Celaya,28.55,11.71,555
297,11,8,Manuel Doblado,28.63,11.99,274
298,11,9,Comonfort,27.74,11.38,575
299,11,10,Coroneo,23.23,9.23,802
300,11,11,Cortazar,29.21,12.01,802
301,11,12,Cuerámaro,30.08,12.37,230
302,11,13,Doctor Mora,21.51,10.91,677
303,11,14,Dolores Hidalgo Cuna de la Independencia Nacional,26.31,10.44,247
304,11,15,Guanajuato,27.9,11.16,765
305,11,16,Huanímaro,29.6,13.13,241
306,11,17,Irapuato,30.75,12.21,721
307,11,18,Jaral del Progreso,29.23,12.27,496
308,11,19,Jerécuaro,24.14,9.71,499
309,11,20,León,28.07,10.85,844
310,11,21,Moroleón,26.3,12.18,318
311,11,23,Pénjamo,29.21,13.37,96
312,11,25,Purísima del Rincón,28.87,10.66,145
313,11,26,Romita,30.75,11.71,147
314,11,27,Salamanca,30.01,12.06,823
315,11,28,Salvatierra,27.03,11.5,347
316,11,29,San Diego de la Unión,26.05,10.59,533
317,11,31,San Francisco del Rincón,29.8,10.75,782
318,11,32,San José Iturbide,22.16,9.93,167
319,11,33,San Luis de la Paz,23.72,12.8,559
320,11,35,Santa Cruz de Juventino Rosas,29.08,11.81,491
321,11,36,Santiago Maravatío,27.01,11.71,366
322,11,37,Silao de la Victoria,29.89,11.69,291
323,11,38,Tarandacuao,23.29,9.09,407
324,11,39,Tarimoro,26.88,11.04,830
325,11,41,Uriangato,26.56,12.0,777
326,11,42,Valle de Santiago,29.57,12.65,934
327,11,45,Xichú,23.7,13.65,120
328,11,46,Yuriria,27.53,12.49,754
329,12,1,Acapulco de Juárez,31.42,21.99,512
330,12,2,Ahuacuotzingo,27.99,16.01,93
331,12,3,Ajuchitlán del Progreso,26.99,18.52,537
332,12,4,Alcozauca de Guerrero,26.32,15.28,531
333,12,5,Alpoyeca,29.1,16.62,450
334,12,6,Apaxtla,27.88,18.18,624
335,12,7,Arcelia,27.22,18.92,843
336,12,8,Atenango del Río,30.26,17.8,915
337,12,9,Atlamajalcingo del Monte,25.12,15.06,146
338,12,10,Atlixtac,25.86,14.87,142
