nmun,idmun,ides,tmax,tmin
Filomeno Mata,67,30,21.43,15.780000000000001
Florencio Villarreal,30,12,27.675,23.814999999999998
Fortín,68,30,27.2,16.564999999999998
Francisco I. Madero,9,5,25.9625,10.25
Francisco León,33,7,26.53,18.95
Francisco Z. Mena,64,21,23.235,18.73
Fresnillo,10,32,24.560000000000002,6.734999999999999
Fresnillo de Trujano,32,20,30.785,16.67
Frontera,10,5,24.53,14.825
Frontera Comalapa,34,7,26.16,16.2
Frontera Hidalgo,35,7,32.45,21.700000000000003
Fronteras,27,26,22.865000000000002,8.0
Gabriel Zamora,33,16,30.369999999999997,20.615000000000002
Galeana,23,8,22.555,7.699999999999999
García,18,19,24.55,12.82
Genaro Codina,12,32,21.85,6.68
General Bravo,20,19,27.82,19.52
General Canuto A. Neri,31,12,25.07,16.98
General Cepeda,11,5,24.615000000000002,9.375
General Enrique Estrada,13,32,24.905,6.984999999999999
General Escobedo,21,19,26.049999999999997,14.975000000000001
General Felipe Ángeles,65,21,22.244999999999997,12.08
General Francisco R. Murguía,14,32,25.82,8.305
General Heliodoro Castillo,32,12,25.12,16.82
General Plutarco Elías Calles,70,26,28.79,14.434999999999999
General Pánfilo Natera,16,32,26.775,10.015
General Simón Bolívar,6,10,25.3,12.985
General Terán,22,19,27.799999999999997,16.86
General Treviño,23,19,27.799999999999997,19.07
General Zaragoza,24,19,22.58,10.280000000000001
General Zuazua,25,19,25.88,15.254999999999999
González,12,28,28.935000000000002,20.240000000000002
Gran Morelos,26,8,22.23,8.684999999999999
Granados,28,26,24.985,8.91
Guachinango,38,14,28.73,13.865
Guachochi,27,8,19.009999999999998,4.055
Guadalajara,39,14,28.84,12.82
Guadalcázar,17,24,27.685,13.745000000000001
Guadalupe,66,21,26.215,12.725
Guadalupe Etla,33,20,26.945,11.25
Guadalupe Victoria,67,21,23.2975,7.9675
Guadalupe de Ramírez,34,20,29.91,15.675
Guadalupe y Calvo,29,8,23.25,4.785
Guanaceví,9,10,22.314999999999998,2.08
Guanajuato,15,11,27.65,12.21
Guasave,11,25,31.225,19.165
Guaymas,29,26,29.674999999999997,14.805
Guazapares,30,8,28.064999999999998,12.385000000000002
Guelatao de Juárez,35,20,24.355,9.879999999999999
